Institution name,Parent / affiliate relationship,Category,Capital type,Relevant team or strategy name,Primary U.S. office,Other relevant U.S. offices,Approximate AUM or relevant fund size,Typical transaction size,Specific data center focus,Example transactions,Number of relevant transactions since Jan 2024 (verified in this dataset),Most recent verified sector activity,Activity status,Dedicated digital infra team?,Dedicated AI infrastructure strategy?,Recent fund close or new vehicle,Recent senior hires or new U.S. office,Titles that own these deals at this firm,Careers page URL,Evidence strength,Source URLs,Notes
DigitalBridge,Independent listed manager (NYSE: DBRG); DigitalBridge Credit is the credit arm; agreed to acquire ArcLight Capital Partners (2026),1,Multiple (Equity + Credit),DigitalBridge Investment Management; DigitalBridge Credit,Boca Raton FL,New York NY; Los Angeles CA (verify),USD 40.7bn fee-earning equity under management (30 Sep 2025); USD 6.9bn deployed across portfolio in 2025,USD 100m - USD 9bn+,Hyperscale and colocation platforms; GPU/AI cloud credit; towers and fiber; power convergence via ArcLight,"2024-06 Vantage Data Centers USD 9.2bn equity investment (co-lead investor); 2022-05 Switch Inc. USD 11bn take-private (co-buyer with IFM); 2024-05 CoreWeave USD 7.5bn debt facility (DigitalBridge Credit, participant)",3,2026 (ArcLight acquisition announced),Very Active (12mo),Yes,Yes,Unknown / Not verified,Agreed acquisition of ArcLight Capital Partners for ~USD 1.05bn (2026) adds power platform,Unknown / Not verified,Unknown / Not verified,A,https://www.digitalbridge.com/news/2024-06-13-vantage-data-centers-completes-92-billion-equity-investment-led-by-digitalbridge-and-silver-lake | https://www.sec.gov/Archives/edgar/data/1679688/000167968825000100/dbrg-20250930.htm | https://www.utilitydive.com/news/digitalbridge-arclight-data-center-deal/821199/ | https://www.datacenterknowledge.com/switches-routers/done-digitalbridge-and-ifm-take-switch-private-for-11b,The most consistently recurring pure-play sponsor in the dataset. Credit arm is a separate counterparty from the equity funds.
Blue Owl Digital Infrastructure (formerly IPI Partners),Team acquired by Blue Owl Capital for ~USD 1.0bn; closed 5 Jan 2025; ICONIQ retains partnership; IPI brand retired into Blue Owl,1,Multiple (Equity + Debt),Blue Owl Digital Infrastructure strategy; Blue Owl Digital Infrastructure Trust,New York NY,Chicago IL (legacy IPI office),IPI had >USD 11bn AUM at 30 Sep 2024; Blue Owl provided >USD 50bn of financing in 2025 (secondary),USD 500m - USD 30bn,Hyperscale build-to-suit; JV development with hyperscalers; large private placement financings,"2025-10 Meta Hyperion JV, ~USD 30bn, 80% JV owner and equity provider; 2025 Blue Owl / Chirisa / PowerHouse JV up to USD 5bn (JV partner); 2025 STACK Infrastructure New Mexico AI campus (lead capital provider)",3,2025-12 (Blue Owl Digital Infrastructure Trust first close),Very Active (12mo),Yes,Yes,"Blue Owl Digital Infrastructure Trust, USD 1.7bn first close, 1 Dec 2025; QIA / Blue Owl USD 3bn digital infrastructure platform announced Sep 2025",IPI Managing Partner appointed Head of Blue Owl digital infrastructure strategy (Jan 2025),Unknown / Not verified,Unknown / Not verified,A,https://www.blueowl.com/news/blue-owl-capital-completes-acquisition-ipi-partners-business | https://www.prnewswire.com/news-releases/meta-announces-joint-venture-with-funds-managed-by-blue-owl-capital-to-develop-hyperion-data-center-302590584.html | https://tools.prnewswire.com/en-us/live/20813/release/20250925EN81646 | https://www.bloomberg.com/news/articles/2025-12-04/blue-owl-raises-1-7-billion-for-fund-dedicated-to-data-centers,Deduplication: IPI Partners no longer exists as a standalone counterparty. Blue Owl Capital also appears in Category 4 as a credit provider - treat as distinct teams.
SDC Capital Partners,Independent,1,Equity,Digital infrastructure platform investing,New York NY,Unknown / Not verified,~USD 12.3bn institutional capital under management (firm site); debut fund USD 400m (2018),Unknown / Not verified,Data centers; network and fiber; wireless infrastructure; cloud and IT services platforms,Unknown / Not verified - firm portfolio page lists platform investments,Unknown / Not verified,2025 (firm site current),Active (24mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://sdccapitalpartners.com/about/ | https://sdccapitalpartners.com/investments/ | https://www.prnewswire.com/news-releases/sdc-capital-partners-closes-initial-private-equity-fund-with-400-million-of-commitments-300699230.html,Founded 2017. Pure-play digital infrastructure. Needs a transaction-level pull from the firm portfolio page to raise to evidence A.
Palistar Capital,Independent,1,Multiple (Equity + Structured),Digital infrastructure private equity and structured investments; data centers and fiber sector team,New York NY,Unknown / Not verified,Palistar Digital Infrastructure Fund III (raising; size not verified),Unknown / Not verified,Telecom easements; towers; data centers; fiber,Portfolio includes F3 Networks (dark fiber) and Harmoni Towers; data center exposure per firm sector page,Unknown / Not verified,2025 (firm site current),Active (24mo),Yes,Unknown / Not verified,Palistar Digital Infrastructure Fund III (preparing third telecom infra fund per Infralogic),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://palistar.com/sector-focus/data-centers-and-fiber/ | https://palistar.com/investments/ | https://ionanalytics.com/insights/infralogic/palistar-preps-third-telecom-infra-fund/,Data center activity is a stated sector focus; specific US data center transactions not yet isolated in this pass.
TPG Peppertree,Peppertree Capital Management acquired by TPG in 2025; operates as TPG Peppertree,1,Equity,TPG Peppertree (communications infrastructure),Chagrin Falls OH (legacy Peppertree),San Francisco CA; Fort Worth TX (TPG),>USD 8.0bn managed; investing out of tenth fund; 180+ investments,Unknown / Not verified,Wireless towers and related critical communications infrastructure; adjacent digital infrastructure,Unknown / Not verified,Unknown / Not verified,2025 (TPG acquisition),Active (24mo),Yes,Unknown / Not verified,Acquired by TPG (2025),Acquisition by TPG completed 2025,Unknown / Not verified,Unknown / Not verified,B,https://www.peppertreecapital.com/,Primarily towers rather than data centers. Included as a recurring communications-infrastructure counterparty; flag if a data-centers-only filter is applied.
Cordiant Capital / Cordiant Digital Infrastructure,"Cordiant Digital Infrastructure Ltd (LSE: CORD) is the listed vehicle; manager is Cordiant Capital (Montreal), with North American investment activity",1,Equity,Cordiant Digital Infrastructure,New York NY (verify),Unknown / Not verified,Unknown / Not verified,USD 50m - USD 300m,Carrier hotels and interconnection; data centers; towers; fiber,"2022-01 DataGryd assets at 60 Hudson Street NY (acquisition; ~200,000 sq ft); USD 75m expansion programme for Hudson InterXchange",1,2025 (portfolio update),Active (24mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.cordiantdigitaltrust.com/investments/ | https://en.wikipedia.org/wiki/Cordiant_Digital_Infrastructure,Non-US HQ with a real US asset (60 Hudson). Included per section 3 geography rule.
Grain Management,Independent,1,Multiple (Equity + Structured / Preferred),Grain Management digital infrastructure funds,Washington DC,New York NY (verify),Targeting ~USD 4bn for latest digital infrastructure fund (secondary report),USD 100m - USD 1bn,Data centers; fiber; spectrum; structured and preferred capital into data center platforms,2026-04 Data Realty Holding Corp. (controlling shareholder of Prime Data Centers) preferred equity / structured financing (provider); 2025 55 Hereford Street Brampton ON data center majority stake with StratCap (buyer); 2025-03 T-Mobile 800 MHz spectrum portfolio (exclusive arrangement),3,2026-04,Very Active (12mo),Yes,Unknown / Not verified,New digital infrastructure fund targeting ~USD 4bn (secondary source),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.prnewswire.com/news-releases/grain-management-announces-strategic-structured-financing-in-data-realty-holding-corp-the-founding-and-controlling-shareholder-of-prime-data-centers-302735733.html | https://graingp.com/news/grain-management-acquires-majority-stake-in-toronto-data-center/ | https://thetechcapital.com/grain-management-targeting-4bn-for-new-digital-infrastructure-fund/,Minority-owned DC-headquartered specialist. Structured/preferred capital is a distinct entry point versus control equity.
Post Road Group,Independent,1,Multiple (Credit + Equity),Post Road Digital Infrastructure funds; corporate investment strategy,Stamford CT,Unknown / Not verified,Post Road Digital Infrastructure Fund II USD 500m (Jun 2025); >USD 1bn closed in corporate investment strategy (Aug 2025),USD 50m - USD 250m,Growth capital and credit to data center platforms; edge and regional colocation; communications infrastructure,2021-03 DC BLOX USD 187m long-term financing (lead provider); 2025-03 Connectivity Wireless USD 200m with First Citizens Bank (co-provider); Post Road Digital Infrastructure Fund II dedicated to a data center platform,2,2025-08,Very Active (12mo),Yes,Unknown / Not verified,"Post Road Digital Infrastructure Fund II, USD 500m, June 2025",Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.businesswire.com/news/home/20250804204683/en/Post-Road-Group-Closes-More-Than-%241-Billion-in-New-Capital-Commitments-in-its-Corporate-Investment-Strategy | https://www.businesswire.com/news/home/20210329005076/en/DC-BLOX-Leading-Data-Center-Operator-Secures-187-Million-In-Financing | https://www.businesswire.com/news/home/20250327475137/en/Connectivity-Wireless-Secures-$200-million-of-capital-from-First-Citizens-Bank-and-Post-Road-Group-to-Accelerate-Growth,Straddles Categories 1 and 4. Fund II is explicitly a single-data-center-platform vehicle - unusual structure worth noting for outreach.
Harrison Street,Majority owned by Colliers International (2018),1,Equity,HS Digital,Chicago IL,Unknown / Not verified,HS Digital Fund and related vehicles USD 600m; >USD 5.6bn committed to digital assets over seven years,USD 50m - USD 500m,Powered shells; carrier hotels; colocation; dark fiber,HS Digital Fund USD 600m raise - first dedicated data center capital pool,Unknown / Not verified,2025,Very Active (12mo),Yes,Unknown / Not verified,"HS Digital Fund and associated vehicles, USD 600m",Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.commercialsearch.com/news/harrison-street-raises-600m-for-digital-asset-investment/,Alternative real assets manager with a genuine seven-year digital track record; the dedicated fund is new.
Commonwealth Asset Management,Powered land platform launched jointly with Silver Lake (Aug 2025),1,Equity,Silver Lake / Commonwealth powered land platform,Unknown / Not verified,Unknown / Not verified,USD 400m platform capital,Unknown / Not verified,Powered land site assembly; grid plus behind-the-meter energization for data center developers,"2025-08 Silver Lake powered land platform, USD 400m (co-founder / operating partner); 3GW of power secured; sites in Texas and Georgia",1,2025-08,Very Active (12mo),Yes,Yes,"USD 400m powered land platform, August 2025",New platform launched August 2025,Unknown / Not verified,Unknown / Not verified,A,https://www.silverlake.com/silver-lake-launches-400-million-digital-infrastructure-platform-with-adam-fisher-and-peter-rumbold/ | https://www.lw.com/en/news/2025/08/latham-watkins-advises-silver-lake-in-us400-million-digital-infrastructure-platform | https://www.datacenterdynamics.com/en/news/vantage-investor-silver-lake-launches-new-powered-land-firm-targeting-data-center/,Newly formed. A genuine hidden-gem counterparty - see Deliverable 3.
