closing_date,days_left,fit_tier,title,buyer,category,portal,tender_id,value,emd,source_type,url,fit_note
2026-09-14,0,Mid,Cloud-based data management system for electrical assets with IR-Niyantrac portal,"Indian Railways, Solapur division",Cloud/Data,IREPS (via Tender247),not captured,₹4.68 Cr,,aggregator,https://www.tender247.com/tender-details/103583382,Closes today
2026-09-14,0,Starter,Custom bid: RFP for selection of GIS partner for NHA,National Health Authority,GIS,GeM,GEM/2026/B/7784264,₹99.12 L (agg),₹1.98 L (agg),official,https://eprocure.gov.in/cppp/gemtender,Closes today
2026-09-14,0,Mid,Hiring of Agency for IT Projects (milestone basis),India International Convention & Exhibition Centre (DPIIT),Software dev,GeM,GEM/2026/B/7972686,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Closes today
2026-09-15,1,Starter,"Annual repair and maintenance of LAN, internet, CCTV and EPABX at NHM HQ Bhopal",NHM MP / EE Ujjain Division,IT AMC,MP mptenders,2026_DHS_532188_1,₹7.18 L,"₹14,360",official,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Small; closes tomorrow
2026-09-15,1,Mid,Cloud service to host websites,New Delhi buyer,Cloud,lead via Tender247,not located,₹1.25 Cr,₹1.5 L,aggregator,https://www.tender247.com,Closes tomorrow
2026-09-15,1,Mid,"Cloud-based managed Cyber Security Operations Centre with SIEM, three years",WB Power Development Corp Ltd,Security operations,WB wbtenders,2026_WBPDC_1034822_1,NA,₹3.61 L,official,https://wbtenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,MSSP capability needed; closes tomorrow
2026-09-15,1,Starter,Comprehensive AMC of Local Area Network,Cotton Corporation of India,IT AMC,GeM,GEM/2026/B/7957003,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Small AMC; fits IT support firm; closes tomorrow
2026-09-15,1,Starter,"Comprehensive AMC of computers, laptops and servers, all departments FY 2026-27",Bhiwandi Nizampur City Municipal Corp,IT AMC,MH mahatenders,2026_BNMC_1335232_1,₹12.53 L,₹1 L,official,https://mahatenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Closes tomorrow
2026-09-15,1,Mid,"Custom bid: outsourcing of data entry operators (FMM/UDM), Mumbai Division",Central Railway,IT manpower,GeM,GEM/2026/B/7945437,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Manpower model; closes tomorrow
2026-09-15,1,Starter,"Custom bid: study, design, development and maintenance of corporate website for OIL Green Energy Ltd",Oil India Ltd,Website,GeM,GEM/2026/B/7956245,n/s,₹2.75 L (agg),official,https://eprocure.gov.in/cppp/gemtender,Ideal size for a new firm; closes tomorrow
