Date,Asset / company,Transaction type,Value,Buyer,Seller,Co-investors,Advisers (and side),Lenders / credit providers,Source URLs
2025-10-15,Aligned Data Centers,Take-private / platform acquisition (100% equity),USD 40.0bn EV,AI Infrastructure Partnership (AIP); MGX; Global Infrastructure Partners (BlackRock),Macquarie Asset Management (MIP IV and MIP V) and co-invest partners,Microsoft; NVIDIA; xAI; Temasek; Kuwait Investment Authority (per S&P Global),"Guggenheim Securities, LLC (lead financial adviser to the sellers); Wells Fargo; TD Securities; Deutsche Bank; Goldman Sachs & Co. LLC; J.P. Morgan; Citizens JMP Securities, LLC; BofA Securities, Inc. (financial advisers, sell-side). Legal: Latham & Watkins (Macquarie Asset Management); Sterlington (Aligned management team)",Unknown / Not verified,https://www.global-infra.com/news/ai-infrastructure-partnership-aip-mgx-and-blackrocks-global-infrastructure-partners-gip-to-acquire-all-equity-in-aligned-data-centers/ | https://aligneddc.com/press-release/aip-mgx-and-blackrocks-gip-close-acquisition-of-aligned-data-centers/ | https://www.cnbc.com/2025/10/15/nvidia-microsoft-blackrock-aligned-data-centers.html | https://www.macquarie.com/us/en/about/news/2025/macquarie-asset-management-to-lead-sale-of-aligned-data-centers-at-an-enterprise-value-of-us-40-billion.html | https://www.businesswire.com/news/home/20251015016099/en/Macquarie-Asset-Management-to-Lead-Sale-of-Aligned-Data-Centers-at-an-Enterprise-Value-of-$US40-Billion | https://www.lw.com/en/news/2026/07/latham-advises-on-completed-sale-of-aligned-data-centers-by-macquarie-asset-management
2024-06-13,Vantage Data Centers,Equity investment / recapitalization,USD 9.2bn,DigitalBridge; Silver Lake (lead investors),n/a (primary + secondary equity),GIC; ADIA; CPP Investments; PSP Investments (secondary source); AustralianSuper (EUR 1.5bn Sept 2023),Legal: Latham & Watkins (Silver Lake); Simpson Thacher (DigitalBridge). Financial advisers not disclosed in release,Unknown / Not verified,https://vantage-dc.com/news/vantage-data-centers-completes-9-2-billion-equity-investment-led-by-digitalbridge-and-silver-lake/ | https://www.digitalbridge.com/news/2024-06-13-vantage-data-centers-completes-92-billion-equity-investment-led-by-digitalbridge-and-silver-lake | https://www.lw.com/en/news/2024/06/latham-watkins-advises-silver-lake-in-completed-equity-investment-in-vantage-data-centers | https://mergr.com/transaction/psp-investments-acquires-vantage-data-centers
2025-10-22,Meta Hyperion data center campus (Richland Parish LA),Joint venture + private placement financing,~USD 30bn total (USD 27bn+ debt; ~USD 2.5bn equity),Blue Owl Capital managed funds (80%); Meta (20%),n/a (newbuild JV),Unknown / Not verified,Morgan Stanley (arranger of the debt and equity); Legal: Kirkland & Ellis (Blue Owl),PIMCO (lead bond investor / USD 27bn IG notes due 2049); Blue Owl Capital,https://www.prnewswire.com/news-releases/meta-announces-joint-venture-with-funds-managed-by-blue-owl-capital-to-develop-hyperion-data-center-302590584.html | https://about.fb.com/news/2025/10/meta-blue-owl-capital-develop-hyperion-data-center/ | https://www.kirkland.com/news/press-release/2025/10/kirkland-represents-blue-owl-on-joint-venture-with-meta-to-develop-hyperion-data-center | https://www.datacenterdynamics.com/en/news/meta-taps-pimco-and-blue-owl-for-29bn-data-center-financing-report/
2024-05-17,CoreWeave,Debt financing facility (GPU / AI infrastructure),USD 7.5bn,n/a,n/a,n/a,Unknown / Not verified,Blackstone (lead); Magnetar (co-lead); Coatue; Carlyle; CDPQ; DigitalBridge Credit; BlackRock managed funds; Eldridge Industries; Great Elm Capital Corp,https://www.blackstone.com/news/press/coreweave-secures-7-5-billion-debt-financing-facility-led-by-blackstone-and-magnetar/ | https://www.prnewswire.com/news-releases/coreweave-secures-7-5-billion-debt-financing-facility-led-by-blackstone-and-magnetar-302148876.html
2023-08,CoreWeave,Debt financing facility (GPUs as collateral),USD 2.3bn,n/a,n/a,n/a,Unknown / Not verified,Magnetar Capital (lead); Blackstone Tactical Opportunities (lead); Coatue; DigitalBridge Credit,https://www.coreweave.com/news/coreweave-secures-2-3-billion-debt-financing-facility-led-by-magnetar-capital-and-blackstone-to-meet-surging-demand-and-ongoing-expansion-of-specialized-cloud-infrastructure-to-power-ai | https://www.datacenterdynamics.com/en/news/ai-focused-gpu-cloud-company-coreweave-raises-23bn-in-debt-from-magnetar-capital-blackstone-digitalbridge/
2025-07,CoreWeave / Core Scientific,All-stock merger,Unknown / Not verified,CoreWeave,Core Scientific shareholders,n/a,"Goldman Sachs & Co. LLC (buy-side, CoreWeave); Moelis & Company LLC (sell-side, Core Scientific); PJT Partners LP (sell-side, Core Scientific)",Unknown / Not verified,https://www.sec.gov/Archives/edgar/data/1769628/000095010325008492/dp231291_ex9901.htm
2025-04,Montera Infrastructure (hyperscale data center platform),Platform launch / equity commitment,USD 1.5bn,Stonepeak,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,https://www.datacenterfrontier.com/hyperscale/article/55286971/stonepeak-targets-ai-and-cloud-data-centers-with-montera-infrastructure-and-strategic-buildout
2026-01-07,Global Technical Realty (GTR),Follow-on equity commitment,~USD 1.9bn (KKR USD 1.5bn; Oak Hill ~USD 400m),KKR; Oak Hill Capital,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,https://oakhill.com/2026/01/07/kkr-and-oak-hill-capital-commit-nearly-2-billion-to-leading-european-data-center-platform-global-technical-realty/
2025-05,DartPoints,Majority recapitalization + growth capital,USD 250m,NOVA Infrastructure (majority); Orion Infrastructure Capital,Astra Capital Management (retained minority),Orion Infrastructure Capital,Unknown / Not verified,Unknown / Not verified,https://www.prnewswire.com/news-releases/nova-infrastructure-invests-in-dartpoints-to-accelerate-growth-and-expand-strategic-infrastructure-302441849.html | https://commercialobserver.com/2025/05/data-center-operator-dartpoints-250m-capital-investment/
2022-05,Novva Data Centers,Growth equity,USD 355m (cumulative USD 450m),CIM Group,n/a,n/a,Unknown / Not verified,Unknown / Not verified,https://www.prnewswire.com/news-releases/novva-data-centers-receives-355m-growth-equity-investment-from-cim-group-to-aid-expansion-efforts-301558538.html
